Total,Total with Child,GEO_ID,NAME
163324,45843,37001,"Alamance County, North Carolina"
37213,10282,37003,"Alexander County, North Carolina"
11008,2297,37005,"Alleghany County, North Carolina"
24902,6819,37007,"Anson County, North Carolina"
26863,5922,37009,"Ashe County, North Carolina"
17506,2863,37011,"Avery County, North Carolina"
47168,11739,37013,"Beaufort County, North Carolina"
19380,4128,37015,"Bertie County, North Carolina"
33407,9701,37017,"Bladen County, North Carolina"
131815,28366,37019,"Brunswick County, North Carolina"
256886,60633,37021,"Buncombe County, North Carolina"
89968,23291,37023,"Burke County, North Carolina"
206615,69500,37025,"Cabarrus County, North Carolina"
81884,21187,37027,"Caldwell County, North Carolina"
10551,3219,37029,"Camden County, North Carolina"
69070,15913,37031,"Carteret County, North Carolina"
22684,5592,37033,"Caswell County, North Carolina"
157613,43565,37035,"Catawba County, North Carolina"
71338,18496,37037,"Chatham County, North Carolina"
27969,5317,37039,"Cherokee County, North Carolina"
14097,3643,37041,"Chowan County, North Carolina"
10946,2080,37043,"Clay County, North Carolina"
97282,28980,37045,"Cleveland County, North Carolina"
56068,14970,37047,"Columbus County, North Carolina"
102491,26179,37049,"Craven County, North Carolina"
332861,100245,37051,"Cumberland County, North Carolina"
26363,6837,37053,"Currituck County, North Carolina"
36222,8996,37055,"Dare County, North Carolina"
165381,44268,37057,"Davidson County, North Carolina"
42257,12305,37059,"Davie County, North Carolina"
58967,17278,37061,"Duplin County, North Carolina"
311848,80168,37063,"Durham County, North Carolina"
52648,15369,37065,"Edgecombe County, North Carolina"
375195,112939,37067,"Forsyth County, North Carolina"
66362,18688,37069,"Franklin County, North Carolina"
219271,62442,37071,"Gaston County, North Carolina"
11548,2983,37073,"Gates County, North Carolina"
8509,2267,37075,"Graham County, North Carolina"
59328,17066,37077,"Granville County, North Carolina"
21033,5962,37079,"Greene County, North Carolina"
527868,151481,37081,"Guilford County, North Carolina"
51190,14253,37083,"Halifax County, North Carolina"
132283,43899,37085,"Harnett County, North Carolina"
61053,14139,37087,"Haywood County, North Carolina"
114913,27007,37089,"Henderson County, North Carolina"
24012,6455,37091,"Hertford County, North Carolina"
53957,18770,37093,"Hoke County, North Carolina"
5213,1186,37095,"Hyde County, North Carolina"
175538,51813,37097,"Iredell County, North Carolina"
42938,9086,37099,"Jackson County, North Carolina"
196870,64141,37101,"Johnston County, North Carolina"
9594,2125,37103,"Jones County, North Carolina"
60481,19436,37105,"Lee County, North Carolina"
56756,15344,37107,"Lenoir County, North Carolina"
82919,22055,37109,"Lincoln County, North Carolina"
45227,11565,37111,"McDowell County, North Carolina"
34813,7771,37113,"Macon County, North Carolina"
21499,5198,37115,"Madison County, North Carolina"
22849,6465,37117,"Martin County, North Carolina"
1074475,325165,37119,"Mecklenburg County, North Carolina"
15004,3574,37121,"Mitchell County, North Carolina"
27252,7810,37123,"Montgomery County, North Carolina"
97294,25850,37125,"Moore County, North Carolina"
94030,26357,37127,"Nash County, North Carolina"
227938,54552,37129,"New Hanover County, North Carolina"
19946,4594,37131,"Northampton County, North Carolina"
195069,57032,37133,"Onslow County, North Carolina"
144836,35559,37135,"Orange County, North Carolina"
12701,2413,37137,"Pamlico County, North Carolina"
39514,10881,37139,"Pasquotank County, North Carolina"
60399,18129,37141,"Pender County, North Carolina"
13430,3171,37143,"Perquimans County, North Carolina"
39345,10899,37145,"Person County, North Carolina"
178433,45558,37147,"Pitt County, North Carolina"
20557,4373,37149,"Polk County, North Carolina"
143118,40526,37151,"Randolph County, North Carolina"
44997,12026,37153,"Richmond County, North Carolina"
132596,44174,37155,"Robeson County, North Carolina"
91077,24916,37157,"Rockingham County, North Carolina"
140296,38749,37159,"Rowan County, North Carolina"
66599,17733,37161,"Rutherford County, North Carolina"
63385,19599,37163,"Sampson County, North Carolina"
35076,9974,37165,"Scotland County, North Carolina"
61588,17231,37167,"Stanly County, North Carolina"
45781,11115,37169,"Stokes County, North Carolina"
71971,19660,37171,"Surry County, North Carolina"
14260,3925,37173,"Swain County, North Carolina"
33775,6478,37175,"Transylvania County, North Carolina"
4095,660,37177,"Tyrrell County, North Carolina"
231053,79503,37179,"Union County, North Carolina"
44479,13527,37181,"Vance County, North Carolina"
1069079,320593,37183,"Wake County, North Carolina"
19898,5425,37185,"Warren County, North Carolina"
11922,3683,37187,"Washington County, North Carolina"
54925,9441,37189,"Watauga County, North Carolina"
123603,36816,37191,"Wayne County, North Carolina"
68469,17550,37193,"Wilkes County, North Carolina"
81435,24098,37195,"Wilson County, North Carolina"
37602,10347,37197,"Yadkin County, North Carolina"
17760,4286,37199,"Yancey County, North Carolina"
324697795,94786781,0100000US,United States
10264876,2898479,0400000US37,North Carolina
